callsgn,ptentYr,vyg,mmsiNo,imoNo,vslNm,lot,lat,sog,cog,rot,hdgAng,drft,nvgtStts,updtTm
,,,440072030,,NEW MONSEUTEO HO,129.47496167,35.691,1,148,0,148,0,,20260824235914
,,,440072290,,YUNGGIL HO,129.46952833,35.491495,3,23,0,0,0,,20260825014917
,,,440072440,,SU DUCK HO,129.283235,35.24475333,1,135,0,0,0,,20260819101651
180027,,,440075220,2018000,한일5002,129.30782833,35.33012833,0,214,0,0,4,항해(동력),20260824153455
300,,,440075550,,NEW JIN JOO HO,129.230925,35.20276833,0,10,0,0,0,,20260823192909
S-116,,,440077310,,S-116,129.42833333,35.48166667,5,62,0,0,.5,항해(동력),20260824175208
,,,440077720,,JIN PUNG,129.35444333,35.3913,1,1,0,0,0,,20260825000853
184807,,,440078640,,현대2호,129.37479333,35.501525,0,0,0,0,0,항해(동력),20260825000630
339,,,440079660,,DAESUNGHO,129.354035,35.46152833,0,39,0,0,0,항해(동력),20260824164350
,,,440080280,,SEONGJINHO,129.46216667,35.66608667,0,106,0,0,0,,20260824100951
,,,440080380,,TAE YANG HO,129.28201167,35.258645,6,320,0,0,0,,20260822101858
,,,440080740,,MIN JAE HO,129.522235,35.632725,8,78,0,0,0,,20260825014914
,,,440082220,,NICE HO,129.37652333,35.391585,8,271,0,0,0,,20260821223436
1253,,,440084260,,107GLOBAL HO,129.37512333,35.50125667,8,267,0,0,0,,20260824170157
194801,,,440085340,9880556,조광105호,129.37012167,35.45304,0,45,.4,86,0,항해(동력),20260825014958
0008247,,,440086490,8247,ULSANPILOT8,129.37516167,35.50154833,0,0,0,0,0,항해(동력),20260824102157
194804,,,440087820,,청화2호,129.38716833,35.50637333,0,79,0,0,7.1,항해(동력),20260825014028
,,,440090430,,JANGSUNG2HO,129.36841,35.34980667,3,28,0,0,0,,20260824170823
1254,,,440090770,,DAE KYUNG 101 HO,129.36561,35.50374167,0,239,0,0,3,,20260824154250
,,,440093130,,YOU LIM HO,129.43311333,35.48983333,6,16,0,0,0,,20260824121113
1261,,,440095620,,CHO KWANG NO.101,129.38874333,35.503745,0,185,1.61,47,4,항해(동력),20260825015002
,,,440096000,,JIN KYUNG HO,129.611955,35.581845,8,107,0,0,0,,20260825014826
1276GDS,,,440098470,1000000,GOLDEN SEA 5HO,129.36415833,35.50504833,0,12,0,0,0,항해(동력),20260821163330
509,,,440098940,,73DAEMYEONG,129.55402833,35.84771833,10,201,0,0,0,항해(동력),20260825015005
204803,,,440099020,,코리아203호,129.375415,35.50146167,0,0,0,0,0,,20260824234535
124803,,,440100300,9659426,광진월드7호,129.40363333,35.479965,0,86,0,259,0,항해(비동력),20260825014313
000209,,,440100660,,103에이치제이,129.25283167,35.20533167,3,314,0,0,3,항해(동력),20260824215339
078248,,,440101080,,광진8001호,129.40345167,35.48003333,0,84,0,0,0,항해(동력),20260825014528
D8YB,,,440101350,,보광호,129.366685,35.50145167,7,320,0,0,0,항해(동력),20260821225655
164813,,,440101760,9821316,케이601호,129.38842,35.50249333,0,180,0,0,3.7,항해(동력),20260825014956
,,,440101940,,55 O SUNG HO,129.23045667,35.22354667,0,21,0,0,0,,20260824103849
134409,,,440102510,,광성11호,129.375685,35.50156667,0,91,0,0,0,항해(동력),20260824141041
,,,440103280,,HYUN DEA HO,129.35395167,35.46081667,0,235,0,0,0,,20260820115550
998251,,,440103300,,그로발105호,129.37413667,35.50144,0,291,0,0,1,항해(동력),20260825010632
998237,,,440103400,,그로발101호,129.37415,35.50143,0,0,0,0,1,항해(동력),20260825005150
,,,440029640,,SUYANG HO,129.245985,35.258005,0,36,0,0,0,,20260821022119
174801,,,440031550,,선진202호,129.38843167,35.50228667,0,338,0,270,0,항해(동력),20260825014634
JH3222,,,440103700,9251119,동림에이스,129.36793167,35.50168333,0,0,0,218,3.4,항해(동력),20260825014835
,,,440103710,,DAE WON HO,129.516955,35.616585,10,86,0,0,0,,20260825015004
134808,,,440103930,,성화호,129.43958833,35.52154833,0,7,0,0,1.5,,20260824200023
010797,,,440104360,10797,고려103호,129.373625,35.461015,0,39,0,0,2.5,항해(동력),20260825014621
501,,,440104430,,SSANGDUNGI HO,129.47433,35.69128833,0,130,0,0,0,항해(동력),20260825014951
134810,,,440104820,,지엠901호,129.359345,35.448075,0,259,0,0,0,항해(동력),20260824155646
027828,,,440105060,,나폴리,129.246405,35.25823333,0,0,0,0,0,항해(동력),20260823031836
134811,,,440105090,,현중301호,129.44009833,35.52218667,0,307,0,0,0,항해(동력),20260824170946
134812,,,440105120,,현중302호,129.43998667,35.52224,0,309,0,0,4,항해(동력),20260824170157
,,,440105190,,YONG SUNG HO,129.29490833,35.21985833,2,338,0,0,0,,20260824032840
,,,440105840,,HAE IN HO,129.37220333,35.39607167,10,249,0,0,0,,20260822074549
,,,440106210,,YONG GILL,129.27308333,35.25781667,7,278,0,0,0,,20260823094855
308,,,440106270,,308 GYEONGDONGHO,129.24497,35.25910167,0,194,0,0,0,항해(동력),20260813104306
413,,,440106640,,DEOK YONG HO,129.30374667,35.27108333,7,337,0,0,0,항해(동력),20260824080809
947800,,,440107380,,그로발207호,129.35966167,35.448025,0,157,0,0,0,낚시,20260824165858
048239,,,440108240,9322360,선진7호,129.37940333,35.45223167,0,0,0,70,4.5,항해(동력),20260825013548
125O,,,440108990,,HEUNGJIN NO3,129.38892333,35.50201667,0,188,0,0,3.5,항해(동력),20260825013848
301,,,440109340,,YEOUNG SUNG HO,129.52438,35.45620667,10,54,0,0,0,,20260825013845
058229,,,440109620,,태창2호,129.37517,35.50147833,0,298,0,0,3.8,항해(동력),20260825004548
1266,,,440109780,,SAM SUNG HO,129.43101833,35.30608,7,175,0,0,0,항해(동력),20260825014421
058311,,,440109970,9380491,선진606호,129.38977,35.50227,0,0,0,0,4.5,항해(동력),20260824133123
048278,,,440110030,,ULSANPILOT1,129.40850667,35.42918667,18,324,0,0,3,항해(동력),20260825014941
,,,440110250,9378412,505HAE RYONG,129.38832667,35.45458167,6,197,0,226,0,,20260825014956
,,,440110770,,HAE RYOUNG HO,129.41903833,35.48797167,6,309,0,0,0,,20260824111224
,,,440110930,,HYUN DAI HO,129.48635,35.46349833,2,210,0,0,0,,20260825012801
021727,,,440111470,,엠에스2호,129.36462333,35.504885,0,21,0,0,2.7,항해(동력),20260821124528
040591,,,440111480,,대유호,129.37023667,35.50067667,0,113,0,0,0,항해(동력),20260824170817
964386,,,440111570,,윤송1호,129.396635,35.50474167,0,48,0,0,0,,20260824180641
,,,440111870,,YONG  SUNG HO,129.50306333,35.53224,1,126,0,0,0,,20260825014913
140032,,,440111960,,해성1호,129.37057,35.50033167,1,353,0,0,0,항해(동력),20260824121542
214808,,,440112020,,태청1,129.36568,35.50368833,0,40,0,0,5.6,항해(동력),20260824191629
,,,440112120,,PIL SEUNG HO,129.23739833,35.26403667,1,253,0,0,0,항해(동력),20260824152845
144808,,,440112560,,케이101호,129.38833667,35.50357333,0,32,0,311,4.5,항해(동력),20260825014555
D9NK,,,440112740,,101 SUNG RYOUMG,129.24016167,35.26033833,0,27,0,0,0,,20260814190115
967712,,,440113070,,코리아101호,129.36659167,35.503625,0,19,0,0,0,항해(동력),20260821114903
,,,440113770,,SUNJIN 111HO,129.38601167,35.47685333,0,136,0,269,0,,20260825014946
1268,,,440113970,,GYEONGNAM HO,129.479825,35.61184667,5,105,0,0,0,항해(동력),20260825015000
,,,440114130,,HAN YANG HO,129.41532833,35.290355,7,182,0,0,0,,20260825014632
502,,,440114280,,HAEUNHO,129.505255,35.80855167,0,301,0,0,0,,20260824061536
,,,440114710,,WOONG EI HO,129.45168167,35.61809,0,39,0,0,0,,20260824132424
204802,,,440114910,,ULSAN PILOT 6,129.37514667,35.50156667,0,274,0,0,0,항해(동력),20260824093649
908645,,,440116360,,오리엔트2호,129.25773167,35.205685,5,294,0,0,0,항해(동력),20260824180620
,,,440117370,,SU DEOK HO,129.46060167,35.61659333,8,302,0,0,0,,20260824123806
,,,440118210,,5 SUNG GWANG HO,129.42483,35.48357167,0,178,0,0,0,항해(동력),20260823231646
079068,,,440118290,,해강9호,129.38868667,35.50385,0,304,0,62,4,항해(동력),20260825014549
077435,,,440118480,,105동해호,129.46961667,35.603555,8,162,0,0,0,,20260825014927
078294,,,440118710,,제우스호,129.388985,35.502135,0,249,0,264,4,항해(동력),20260825014605
071203,,,440119260,,제101삼일호,129.31085833,35.22539833,6,214,0,215,6.2,항해(동력),20260825014152
313,,,440119370,,ULSANPILOT3,129.38136,35.50065667,13,304,0,0,0,,20260824161535
950710,,,440119560,,해바다101호,129.365485,35.50361333,0,240,0,0,0,항해(동력),20260822182040
154805,,,440120610,,골든씨1호,129.36501167,35.50364167,7,332,0,0,2.5,항해(동력),20260824162055
1281,,,440121250,,GLOBAL 103,129.40511333,35.48819167,0,69,0,0,3,항해(동력),20260825014051
997011,,,440121400,,오대양호,129.36928,35.50153833,0,16,0,0,0,항해(동력),20260819170005
987640,,,440121900,,파트너,129.375865,35.50157833,0,340,0,0,0,,20260825004621
,,,440122500,,HWANGYEONG11GH,129.38757333,35.50189667,0,158,0,0,0,,20260821095449
,,,440124430,,3 KUM KANG HO,129.49172333,35.45821,7,3,0,0,0,항해(동력),20260825014931
,,,440124780,,303HO SAMYANG,129.354625,35.459055,0,39,0,0,0,,20260825014828
,,,440125710,,WON SEOK HO,129.43019833,35.48382833,0,348,0,0,0,,20260815215637
,,,440126560,,HAEKANG NO.7,129.38889833,35.50228833,0,0,0,63,4.5,항해(동력),20260825014914
,,,440127370,,ULSAN 301,129.446765,35.52574,0,184,0,0,3.5,측방 예인,20260825014958
,,,440128270,,JANG WONE HO,129.45151667,35.61792833,0,353,0,0,0,,20260824135911
998244,,,440103500,,그로발103호,129.39495,35.45074833,13,355,0,0,1,항해(동력),20260825014555
,,,440103530,,BU  KEYNG HO,129.468085,35.61744667,10,269,0,0,0,,20260824133032
300,,,440129690,,5 GEUM YEONG,129.48139667,35.30466,1,17,0,0,0,,20260821130443
876427,,,440130020,,SAMHYEONGTI NO.1,129.35408833,35.459615,0,2,0,0,0,항해(동력),20260825013602
240003,,,440130480,,스텔라호,129.36865167,35.32531667,13,33,0,31,3.5,항해(동력),20260825015001
,,,440130540,,DAE KYUNG 105 HO,129.36673333,35.44964333,7,294,0,0,0,,20260824014228
,,,440130820,,YOUNG JIN HO,129.41358,35.46955667,8,107,0,0,0,,20260825014120
,,,440131180,,NO7BOSEUNGHO,129.38745667,35.50247667,0,261,0,0,0,항해(비동력),20260824234056
,,,440131740,,708BOYOUNG HO,129.45505167,35.61652667,8,45,0,0,0,,20260825015003
,,,440132060,,YONG JIN HO,129.4524,35.61654667,5,110,0,0,0,,20260825014912
,,,440132260,,TAE YANG HO,129.5464,35.55619833,8,129,0,0,0,,20260825014919
078216,,,440132890,,울산8001,129.44671667,35.52584333,0,171,0,0,0,항해(동력),20260825015005
,,,440133670,,MIN SUNG HO,129.341725,35.39193333,0,124,0,0,0,,20260823223228
164806,,,440133710,,아라3호,129.369085,35.49979,7,271,0,0,2,항해(동력),20260824133634
1270,,,440133720,,시스 더 모멘트,129.37133833,35.49956,6,260,0,0,0,항해(동력),20260824134503
098299,,,440134260,,선진802호,129.38778,35.50223333,0,322,0,0,4,항해(동력),20260825014827
951034,,,440134550,,해바다102호,129.37175333,35.49988,8,260,0,0,0,항해(동력),20260824191535
000231,,,440134650,,우신호,129.35418167,35.440315,0,0,0,0,0,항해(동력),20260821151328
000552,2026,025,440503700,,신흥8호,129.44081167,35.51016167,0,73,0,0,3.5,항해(비동력),20260825015006
002599,2026,001,440011460,8850839,울산707호,129.354245,35.46042667,0,0,0,0,0,항해(동력),20260825014554
3EGU7,2026,026,371350000,9805063,에이스 하나,129.42903,35.45229667,0,111,0,203,4.8,정박(앵커링),20260825012113
018212,2026,016,440414850,18212,7새한,129.37011167,35.50017,0,122,0,0,4.6,,20260825014836
018244,2026,001,440103680,,대원2호,129.36601167,35.50178833,5,351,0,0,0,항해(동력),20260824185831
018291,2026,001,440110170,,비엔티1호,129.36381833,35.50505833,0,345,0,0,1,항해(동력),20260825014642
038249,2026,001,440107460,,청화호,129.38776333,35.503165,0,228,0,282,6.3,,20260825014042
040293,2026,001,440108140,,305남진호,129.35399333,35.45952,0,311,0,0,3,,20260824195556
040651,2026,029,440108390,,울산105호,129.35413667,35.46008167,0,112,0,358,0,항해(동력),20260825014055
044517,2026,039,440007770,,천부1호,129.35468333,35.45899167,0,285,0,0,0,항해(동력),20260825014145
048246,2026,026,440108490,,울산703호,129.35428,35.46011167,0,138,0,11,4,항해(비동력),20260824072135
055755,2026,001,440302650,,가야3호,129.37103,35.50027333,0,90,0,0,3.3,항해(동력),20260824210129
DSQV9,2026,025,441719000,9042788,고려305호,129.35435,35.458635,0,23,0,267,3.8,항해(비동력),20260825014039
070928,2026,010,440117990,,태정호,129.366155,35.503545,0,68,0,0,3,항해(동력),20260824121542
088238,2026,011,440123320,9078505,NC해양,129.38522,35.48404,0,177,0,0,5,정박(계류),20260825012640
V7B2910,2026,001,538012479,1037842,ATHINAGORAS,129.391475,35.47805667,0,308,0,0,8.5,정박(계류),20260825013034
3E9569,2026,001,352006792,1040083,TIELT,129.457985,35.44237833,0,140,-.71,213,6.8,정박(앵커링),20260825014734
HOA5248,2026,001,352006779,1071367,ON PROMISE,129.39567167,35.50319833,0,0,0,13,7,정박(계류),20260820112607
5LDF9,2026,001,636021294,1079292,MACAO S,129.38571167,35.51661,0,312,0,279,6.9,정박(계류),20260825014550
V7B2917,2026,001,538012482,1087512,FRONT SURNA,129.39305833,35.43565333,0,311,.7142446,7,20,정박(계류),20260825013240
3EA4145,2026,006,352006319,1088451,ORIENTAL GREENSTONE,129.39123333,35.48194833,0,308,0,0,8.5,정박(계류),20260825014955
110003,2026,006,440147920,,글로벌102,129.396005,35.504825,0,78,.4,171,3.2,항해(동력),20260825014718
120011,2026,046,440101370,,봉은호,129.3678,35.50169833,0,155,.71,352,3.3,항해(동력),20260825014955
122801,2026,073,440324890,,12삼부호,129.366375,35.50293833,0,0,0,0,3.8,항해(동력),20260825014853
122804,2026,049,440324850,,3태영호,129.36654333,35.50290167,0,6,0,224,3,항해(동력),20260825014113
131062,2026,070,440107000,9301665,그린오션호,129.39490333,35.47165,12,177,0,174,1,흘수에 의한 제한,20260825015007
190008,2026,083,440191310,9181352,부광호,129.36716333,35.50217,0,100,0,228,4.2,항해(비동력),20260825014943
